ion_charge,period,dataset,topology,lock,rho_A,A_plus,A_minus,p_lock_D,state,D_abs,IE_profile
6,4,nist_pblock_ie7_periods_2to6.csv,minus_only,,0.0,0.0,-9.028333333333322,0.2289,P-,1.0,"[140.8, 144.9, 147.0, 155.327, 103.03, 109.13]"
6,5,nist_pblock_ie7_periods_2to6.csv,two_lobe,unlocked,6.600162206001599,40.68999999999995,-6.165000000000013,0.7319765962859324,C*,0.7368477216945889,"[109.0, 112.9, 117.0, 124.2, 87.61, 91.6]"
6,6,nist_pblock_ie7_periods_2to6.csv,two_lobe,unlocked,7.166666666666681,25.80000000000001,-3.5999999999999943,0.7458,C*,0.7551020408163269,"[97.9, 100.1, 103.0, 108.0, 85.1, 88.0]"
7,3,nist_pblock_ie8_periods_2to6.csv,minus_only,,0.0,0.0,-15.524333333333203,0.182,P-,1.0,"[284.64, 303.59, 309.6, 328.794, 348.306, 143.4567]"
7,4,nist_pblock_ie8_periods_2to6.csv,minus_only,,0.0,0.0,-5.558333333333351,0.2245,P-,1.0,"[169.9, 176.4, 180.0, 184.0, 192.61, 125.802]"
7,5,nist_pblock_ie8_periods_2to6.csv,two_lobe,unlocked,0.0485564304461951,0.1850000000000022,-3.809999999999974,0.2494,C*,0.907384230287858,"[130.1, 135.0, 139.0, 143.0, 150.81, 105.9778]"
7,6,nist_pblock_ie8_periods_2to6.csv,minus_only,,0.0,0.0,-3.416666666666643,0.217,P-,1.0,"[116.0, 120.0, 122.0, 125.0, 130.1, 102.0]"
8,3,nist_pblock_ie9_periods_2to6.csv,two_lobe,unlocked,0.6000624535910128,3.382130017419703,-5.636296684086281,0.2197,C*,0.249951210036464,"[330.21, 351.28, 372.31, 379.84, 400.851, 422.6]"
8,4,nist_pblock_ie9_periods_2to6.csv,two_lobe,locked,0.2592592592592555,1.1666666666666572,-4.500000000000028,0.00395,C,0.5882352941176517,"[211.0, 212.5, 213.0, 219.0, 224.0, 233.0]"
8,5,nist_pblock_ie9_periods_2to6.csv,plus_only,,,4.5,0.0,1.0,P+,1.0,"[156.0, 156.0, 162.0, 167.0, 171.0, 179.84]"
8,6,nist_pblock_ie9_periods_2to6.csv,plus_only,,,2.433333333333365,0.0,1.0,P+,1.0,"[135.0, 138.0, 143.0, 146.1, 149.0, 154.0]"
9,3,nist_pblock_ie10_periods_2to6.csv,plus_only,,,21.87499999999997,0.0,1.0,P+,1.0,"[398.65, 401.38, 424.4, 447.7, 456.7, 479.76]"
9,4,nist_pblock_ie10_periods_2to6.csv,minus_only,,0.0,0.0,-13.666666666666629,0.2579460873063769,P-,1.0,"[244.0, 252.1, 247.0, 255.0, 261.0, 268.0]"
9,5,nist_pblock_ie10_periods_2to6.csv,minus_only,,0.0,0.0,-5.733333333333377,0.1828,P-,1.0,"[178.0, 184.0, 185.0, 191.1, 197.0, 202.0]"
9,6,nist_pblock_ie10_periods_2to6.csv,two_lobe,unlocked,5.675381263616695,2.3468468468468737,-0.4135135135135083,0.69895,C*,0.7003916449086224,"[158.0, 158.0, 161.1, 166.0, 169.0, 173.9]"
